,v34,v36,v37,v38,v40,v41,v42,v43,v44,v_normal
a00,92.0,94.0,88.0,95.0,91.0,84.0,86.0,91.0,95.0,85.0
a01,62.0,28.0,55.0,51.0,30.0,46.0,81.0,40.0,46.0,28.0
a02,97.0,97.0,91.0,89.0,90.0,93.0,94.0,87.0,96.0,88.0
a03,24.0,23.0,19.0,10.0,16.0,33.0,56.0,15.0,52.0,54.0
a04,95.0,92.0,93.0,94.0,87.0,96.0,91.0,98.0,95.0,86.0
a05,88.0,90.0,82.0,87.0,85.0,93.0,82.0,85.0,90.0,78.0
a06,95.0,92.0,96.0,89.0,94.0,94.0,94.0,92.0,96.0,88.0
a07,78.0,29.0,51.0,47.0,23.0,43.0,64.0,44.0,58.0,15.0
a08,90.0,94.0,93.0,92.0,87.0,90.0,94.0,92.0,90.0,86.0
a09,45.0,25.0,51.0,88.0,36.0,43.0,64.0,41.0,64.0,35.0
a10,59.0,38.0,81.0,78.0,48.0,55.0,88.0,53.0,81.0,33.0
a11,15.0,14.0,13.0,14.0,10.0,5.0,17.0,6.0,24.0,9.0
a12,79.0,45.0,74.0,68.0,50.0,56.0,92.0,52.0,82.0,35.0
a13,87.0,87.0,94.0,80.0,88.0,80.0,89.0,89.0,86.0,84.0
a14,19.0,17.0,19.0,14.0,22.0,11.0,17.0,18.0,18.0,13.0
a15,62.0,75.0,78.0,62.0,60.0,61.0,50.0,68.0,71.0,37.0
a16,87.0,46.0,54.0,60.0,28.0,46.0,76.0,37.0,71.0,27.0
a17,86.0,79.0,85.0,81.0,85.0,82.0,79.0,90.0,90.0,73.0
a18,51.0,47.0,63.0,77.0,54.0,38.0,93.0,52.0,84.0,33.0
a19,70.0,81.0,61.0,72.0,73.0,77.0,72.0,80.0,76.0,55.0
a20,72.0,62.0,68.0,60.0,43.0,56.0,71.0,67.0,67.0,53.0
a21,79.0,88.0,89.0,87.0,79.0,86.0,78.0,87.0,86.0,74.0
a22,93.0,95.0,95.0,90.0,91.0,93.0,94.0,89.0,94.0,89.0
a23,98.0,96.0,94.0,89.0,88.0,93.0,95.0,97.0,92.0,91.0
a24,88.0,98.0,94.0,90.0,90.0,94.0,89.0,89.0,90.0,87.0
a25,72.0,38.0,64.0,89.0,47.0,32.0,67.0,48.0,77.0,28.0
a26,92.0,97.0,97.0,92.0,92.0,94.0,92.0,94.0,92.0,93.0
a27,96.0,98.0,94.0,89.0,87.0,91.0,89.0,94.0,94.0,87.0
a28,10.0,24.0,12.0,19.0,32.0,13.0,11.0,5.0,12.0,7.0
a29,56.0,25.0,47.0,55.0,31.0,30.0,65.0,16.0,76.0,34.0
a30,28.0,17.0,38.0,23.0,28.0,22.0,61.0,12.0,67.0,29.0
a31,93.0,84.0,85.0,82.0,84.0,88.0,77.0,86.0,93.0,77.0
a32,91.0,87.0,85.0,81.0,80.0,89.0,83.0,90.0,91.0,78.0
a33,92.0,97.0,91.0,92.0,88.0,88.0,93.0,99.0,93.0,89.0
a34,73.0,34.0,42.0,47.0,22.0,42.0,55.0,36.0,50.0,21.0
a35,35.0,13.0,34.0,25.0,11.0,17.0,30.0,22.0,26.0,11.0
a36,91.0,92.0,84.0,84.0,83.0,88.0,89.0,88.0,92.0,85.0
a37,85.0,83.0,88.0,73.0,80.0,85.0,86.0,87.0,91.0,80.0
a38,47.0,26.0,58.0,78.0,47.0,35.0,74.0,44.0,70.0,32.0
a39,90.0,85.0,88.0,78.0,77.0,86.0,85.0,81.0,87.0,65.0
a40,92.0,90.0,83.0,73.0,85.0,85.0,78.0,86.0,93.0,80.0
a41,14.0,22.0,21.0,5.0,16.0,21.0,25.0,11.0,20.0,25.0
a42,72.0,47.0,68.0,61.0,40.0,58.0,91.0,49.0,72.0,47.0
a43,91.0,92.0,94.0,95.0,90.0,88.0,94.0,93.0,93.0,83.0
a44,51.0,37.0,67.0,70.0,45.0,55.0,80.0,48.0,91.0,44.0
a_normal,58.0,52.0,44.0,42.0,59.0,53.0,44.0,61.0,59.0,47.0
