,v5000,v5002,v5003,v5004,v5005,v5006,v5007,v5008,v5009,v5010,v5011,v_normal
a5100,91.0,57.0,57.0,66.0,65.0,79.0,67.0,49.0,55.0,100.0,78.0,54.0
a5102,94.0,70.0,58.0,70.0,78.0,93.0,77.0,64.0,70.0,100.0,84.0,59.0
a5103,98.0,74.0,77.0,80.0,90.0,91.0,84.0,77.0,73.0,98.0,87.0,76.0
a5104,92.0,54.0,55.0,65.0,73.0,79.0,67.0,44.0,48.0,100.0,82.0,44.0
a5105,94.0,51.0,67.0,63.0,75.0,82.0,62.0,46.0,58.0,100.0,82.0,46.0
a5106,93.0,59.0,54.0,71.0,67.0,81.0,62.0,45.0,48.0,98.0,79.0,38.0
a5107,90.0,57.0,57.0,67.0,69.0,82.0,61.0,45.0,48.0,99.0,84.0,40.0
a5108,89.0,56.0,66.0,67.0,61.0,82.0,63.0,53.0,51.0,100.0,82.0,43.0
a5109,90.0,62.0,64.0,62.0,73.0,79.0,61.0,53.0,54.0,100.0,76.0,56.0
a5110,95.0,50.0,55.0,64.0,69.0,85.0,61.0,49.0,58.0,100.0,71.0,50.0
a5111,92.0,51.0,55.0,71.0,66.0,81.0,52.0,51.0,54.0,99.0,83.0,65.0
a5112,91.0,50.0,55.0,62.0,74.0,87.0,59.0,56.0,57.0,100.0,73.0,49.0
a5200,92.0,53.0,55.0,64.0,67.0,79.0,57.0,54.0,58.0,100.0,79.0,62.0
a5202,94.0,78.0,80.0,84.0,85.0,90.0,69.0,71.0,72.0,99.0,83.0,61.0
a5203,91.0,70.0,77.0,77.0,84.0,88.0,68.0,77.0,69.0,100.0,81.0,63.0
a5204,89.0,57.0,54.0,61.0,72.0,83.0,60.0,58.0,54.0,99.0,78.0,49.0
a5205,94.0,59.0,49.0,55.0,73.0,77.0,56.0,49.0,58.0,100.0,81.0,44.0
a5206,91.0,51.0,56.0,65.0,67.0,90.0,55.0,47.0,54.0,100.0,81.0,46.0
a5207,87.0,54.0,55.0,62.0,77.0,81.0,57.0,48.0,45.0,99.0,78.0,40.0
a5208,93.0,54.0,67.0,59.0,70.0,82.0,64.0,48.0,47.0,100.0,79.0,50.0
a5209,92.0,63.0,56.0,67.0,64.0,81.0,61.0,59.0,58.0,99.0,76.0,57.0
a5210,92.0,53.0,59.0,73.0,68.0,79.0,55.0,55.0,48.0,98.0,76.0,50.0
a5211,91.0,51.0,59.0,65.0,67.0,81.0,61.0,57.0,60.0,100.0,79.0,45.0
a5212,93.0,71.0,51.0,62.0,72.0,83.0,52.0,53.0,51.0,99.0,73.0,37.0
a5300,89.0,53.0,56.0,70.0,69.0,82.0,61.0,53.0,59.0,99.0,73.0,56.0
a5302,96.0,66.0,69.0,71.0,74.0,84.0,64.0,63.0,72.0,100.0,82.0,63.0
a5303,95.0,66.0,67.0,85.0,77.0,89.0,79.0,64.0,72.0,100.0,93.0,68.0
a5304,91.0,56.0,59.0,61.0,65.0,81.0,59.0,56.0,56.0,99.0,76.0,56.0
a5305,91.0,51.0,62.0,54.0,67.0,85.0,56.0,51.0,62.0,100.0,75.0,45.0
a5306,94.0,57.0,61.0,53.0,68.0,85.0,63.0,51.0,49.0,100.0,74.0,41.0
a5307,96.0,56.0,51.0,69.0,68.0,78.0,58.0,56.0,52.0,99.0,76.0,49.0
a5308,89.0,56.0,53.0,70.0,70.0,86.0,62.0,56.0,49.0,99.0,89.0,48.0
a5309,95.0,58.0,61.0,63.0,74.0,86.0,61.0,48.0,64.0,100.0,83.0,56.0
a5310,95.0,49.0,56.0,72.0,70.0,86.0,65.0,50.0,58.0,99.0,82.0,47.0
a5311,93.0,60.0,53.0,67.0,75.0,87.0,63.0,49.0,61.0,100.0,77.0,55.0
a5312,95.0,50.0,58.0,60.0,62.0,76.0,59.0,56.0,44.0,100.0,75.0,50.0
a5400,95.0,45.0,62.0,68.0,71.0,79.0,67.0,46.0,60.0,100.0,80.0,48.0
a5402,90.0,80.0,77.0,77.0,81.0,88.0,83.0,73.0,72.0,99.0,93.0,68.0
a5403,97.0,60.0,67.0,75.0,77.0,88.0,73.0,69.0,66.0,99.0,82.0,63.0
a5404,91.0,59.0,52.0,53.0,61.0,87.0,56.0,53.0,52.0,100.0,79.0,48.0
a5405,94.0,54.0,51.0,54.0,72.0,83.0,60.0,43.0,56.0,98.0,74.0,39.0
a5406,89.0,52.0,57.0,59.0,65.0,83.0,59.0,45.0,52.0,100.0,72.0,50.0
a5407,86.0,49.0,62.0,65.0,73.0,83.0,59.0,57.0,50.0,100.0,80.0,48.0
a5408,90.0,53.0,54.0,66.0,64.0,89.0,56.0,53.0,57.0,99.0,78.0,39.0
a5409,89.0,58.0,59.0,76.0,72.0,81.0,63.0,56.0,68.0,100.0,81.0,49.0
a5410,97.0,51.0,55.0,59.0,72.0,83.0,57.0,49.0,56.0,99.0,76.0,44.0
a5411,90.0,55.0,58.0,71.0,61.0,87.0,57.0,60.0,60.0,100.0,84.0,52.0
a5412,93.0,52.0,57.0,65.0,68.0,82.0,57.0,57.0,54.0,99.0,77.0,49.0
a5500,89.0,44.0,50.0,68.0,64.0,82.0,67.0,46.0,61.0,98.0,74.0,43.0
a5502,100.0,65.0,65.0,78.0,77.0,90.0,70.0,69.0,77.0,99.0,87.0,63.0
a5503,99.0,65.0,55.0,74.0,81.0,89.0,73.0,72.0,69.0,100.0,84.0,67.0
a5504,96.0,57.0,53.0,59.0,58.0,81.0,60.0,55.0,58.0,100.0,82.0,41.0
a5505,94.0,60.0,58.0,65.0,70.0,83.0,60.0,58.0,55.0,99.0,76.0,56.0
a5506,87.0,58.0,64.0,61.0,71.0,83.0,62.0,45.0,57.0,99.0,77.0,59.0
a5507,94.0,52.0,61.0,63.0,74.0,84.0,56.0,51.0,49.0,100.0,79.0,44.0
a5508,87.0,53.0,50.0,69.0,66.0,85.0,64.0,53.0,51.0,99.0,87.0,57.0
a5509,93.0,62.0,62.0,72.0,76.0,80.0,63.0,57.0,57.0,98.0,87.0,47.0
a5510,90.0,50.0,53.0,64.0,74.0,85.0,53.0,49.0,53.0,99.0,75.0,49.0
a5511,94.0,58.0,56.0,71.0,71.0,86.0,60.0,54.0,63.0,99.0,76.0,48.0
a_normal,94.0,57.0,57.0,68.0,68.0,87.0,65.0,58.0,57.0,100.0,86.0,47.0
