,v34,v36,v37,v38,v40,v41,v42,v43,v44,v_normal,v5000,v5002,v5003,v5004,v5005,v5006,v5007,v5008,v5009,v5010,v5011,v5012
a00,91.0,92.0,94.0,87.0,89.0,92.0,93.0,88.0,94.0,89.0,93.0,84.0,89.0,90.0,86.0,97.0,83.0,73.0,86.0,100.0,88.0,79.0
a01,54.0,37.0,38.0,41.0,28.0,48.0,80.0,40.0,52.0,22.0,91.0,63.0,50.0,69.0,73.0,84.0,62.0,56.0,43.0,100.0,75.0,39.0
a02,95.0,94.0,97.0,90.0,98.0,97.0,95.0,92.0,95.0,93.0,97.0,84.0,82.0,82.0,93.0,90.0,84.0,76.0,81.0,99.0,90.0,74.0
a03,13.0,17.0,20.0,10.0,21.0,31.0,56.0,21.0,58.0,44.0,90.0,64.0,53.0,71.0,67.0,89.0,59.0,55.0,45.0,99.0,80.0,38.0
a04,92.0,92.0,96.0,96.0,90.0,93.0,92.0,93.0,94.0,92.0,93.0,84.0,77.0,75.0,83.0,93.0,68.0,72.0,82.0,100.0,90.0,68.0
a05,84.0,91.0,90.0,87.0,82.0,81.0,87.0,86.0,92.0,86.0,97.0,69.0,71.0,77.0,76.0,91.0,64.0,68.0,65.0,99.0,80.0,60.0
a06,96.0,92.0,99.0,93.0,92.0,97.0,93.0,94.0,94.0,87.0,95.0,94.0,87.0,91.0,91.0,91.0,83.0,78.0,84.0,100.0,92.0,74.0
a07,69.0,34.0,48.0,48.0,23.0,46.0,61.0,33.0,58.0,10.0,94.0,59.0,58.0,66.0,70.0,82.0,57.0,51.0,57.0,100.0,78.0,45.0
a08,90.0,94.0,86.0,94.0,94.0,86.0,91.0,97.0,93.0,86.0,92.0,82.0,70.0,81.0,82.0,85.0,70.0,69.0,71.0,100.0,83.0,54.0
a09,54.0,28.0,58.0,89.0,34.0,33.0,78.0,35.0,76.0,33.0,91.0,70.0,59.0,74.0,76.0,85.0,64.0,49.0,60.0,100.0,85.0,53.0
a10,63.0,36.0,86.0,79.0,48.0,52.0,80.0,46.0,81.0,34.0,91.0,65.0,67.0,69.0,83.0,81.0,64.0,44.0,58.0,97.0,80.0,36.0
a11,9.0,4.0,12.0,9.0,14.0,13.0,19.0,11.0,15.0,8.0,91.0,61.0,49.0,70.0,75.0,85.0,57.0,60.0,60.0,99.0,80.0,64.0
a12,76.0,58.0,77.0,71.0,49.0,51.0,86.0,69.0,80.0,38.0,91.0,59.0,73.0,75.0,76.0,83.0,71.0,51.0,53.0,100.0,78.0,47.0
a13,92.0,88.0,86.0,87.0,86.0,82.0,84.0,86.0,91.0,76.0,94.0,77.0,78.0,75.0,85.0,83.0,76.0,72.0,68.0,99.0,88.0,52.0
a14,18.0,19.0,12.0,16.0,25.0,20.0,17.0,7.0,10.0,18.0,93.0,65.0,68.0,68.0,69.0,80.0,64.0,57.0,61.0,100.0,88.0,54.0
a15,69.0,73.0,71.0,61.0,58.0,75.0,65.0,68.0,63.0,39.0,92.0,78.0,74.0,82.0,88.0,92.0,78.0,71.0,85.0,100.0,92.0,75.0
a16,80.0,28.0,55.0,55.0,29.0,44.0,72.0,47.0,71.0,27.0,96.0,71.0,59.0,70.0,75.0,80.0,56.0,58.0,56.0,100.0,88.0,53.0
a17,90.0,80.0,89.0,80.0,85.0,77.0,81.0,83.0,84.0,66.0,91.0,79.0,81.0,79.0,89.0,86.0,78.0,71.0,74.0,100.0,91.0,67.0
a18,56.0,52.0,64.0,66.0,49.0,37.0,93.0,49.0,85.0,35.0,93.0,71.0,68.0,70.0,77.0,83.0,61.0,48.0,54.0,99.0,86.0,47.0
a19,78.0,74.0,67.0,62.0,76.0,68.0,63.0,76.0,77.0,66.0,89.0,72.0,65.0,79.0,88.0,91.0,76.0,71.0,77.0,98.0,82.0,73.0
